Date;Orang;Barang
2021-06-25;104765;42707
2021-06-26;97107;33821
2021-06-27;90395;23184
2021-06-28;101447;43076
2021-06-29;97654;43438
2021-06-30;98536;42084
2021-07-01;98418;42032
2021-07-02;102755;41090
2021-07-03;79578;31792
2021-07-04;67081;22478
2021-07-05;83722;40642
2021-07-06;79650;41834
2021-07-07;80393;42773
2021-07-08;79211;42970
2021-07-09;78943;41156
2021-07-10;69094;31464
2021-07-11;59676;21208
2021-07-12;79648;39542
2021-07-13;76829;41110
2021-07-14;78536;42232
2021-07-15;78792;42727
2021-07-16;81091;41840
2021-07-17;72385;33435
2021-07-18;59622;22379
2021-07-19;77195;27737
2021-07-20;54107;11910
2021-07-21;87089;38354
2021-07-22;86778;42575
2021-07-23;89294;41969
2021-07-24;81408;32837
2021-07-25;75901;21773
2021-07-26;94092;43140
2021-07-27;90679;43883
2021-07-28;90902;44930
2021-07-29;91171;44686
2021-07-30;93604;42431
2021-07-31;91930;33093
2021-08-01;86228;22124
2021-08-02;98326;42060
2021-08-03;95600;43812
2021-08-04;96795;43466
2021-08-05;97706;43162
2021-08-06;101583;42424
2021-08-07;99948;33292
2021-08-08;94969;23048
2021-08-09;100383;41891
2021-08-10;99030;40571
2021-08-11;82884;30641
2021-08-12;101614;46698
2021-08-13;105472;46445
2021-08-14;101514;35452
2021-08-15;91594;23587
2021-08-16;104161;37986
2021-08-17;78402;19549
2021-08-18;104882;44990
2021-08-19;102574;47988
2021-08-20;106742;46460
2021-08-21;101420;36116
2021-08-22;96304;25420
2021-08-23;104055;46735
2021-08-24;101147;48317
2021-08-25;104991;49293
2021-08-26;105761;48137
2021-08-27;111807;47400
2021-08-28;111445;35951
2021-08-29;107323;24859
2021-08-30;109671;44324
2021-08-31;105101;46275
2021-09-01;107501;45066
2021-09-02;107661;45833
2021-09-03;113686;44329
2021-09-04;117042;33685
2021-09-05;117876;23029
2021-09-06;108924;43378
2021-09-07;104562;44449
2021-09-08;107612;45325
2021-09-09;109249;46316
2021-09-10;114217;44760
2021-09-11;115966;33583
2021-09-12;113813;22289
2021-09-13;110319;42990
2021-09-14;107605;44525
2021-09-15;110351;45141
2021-09-16;109605;45048
2021-09-17;114926;43034
2021-09-18;114705;33291
2021-09-19;111036;23420
2021-09-20;110747;46211
2021-09-21;105652;46316
2021-09-22;108430;45342
2021-09-23;108965;45064
2021-09-24;114164;43656
2021-09-25;113697;34004
2021-09-26;113529;24478
2021-09-27;109467;45551
2021-09-28;108266;46926
2021-09-29;109953;45460
2021-09-30;113141;44583
2021-10-01;118999;44391
2021-10-02;120646;33150
2021-10-03;123345;21929
2021-10-04;111661;43869
2021-10-05;108401;45955
2021-10-06;111541;46841
2021-10-07;113022;45590
2021-10-08;120351;44642
2021-10-09;123489;33334
2021-10-10;125218;23063
2021-10-11;112880;45310
2021-10-12;109430;47172
2021-10-13;113073;47420
2021-10-14;114801;46251
2021-10-15;122189;45616
2021-10-16;123082;35649
2021-10-17;119005;23924
2021-10-18;114024;42969
2021-10-19;114171;43068
2021-10-20;103342;30418
2021-10-21;114691;45644
2021-10-22;116902;45966
2021-10-23;115370;36028
2021-10-24;116318;23809
2021-10-25;112889;45993
2021-10-26;110561;48256
2021-10-27;112233;45927
2021-10-28;113665;45359
2021-10-29;121203;44833
2021-10-30;124943;35222
2021-10-31;123865;24132
2021-11-01;113574;43305
2021-11-02;109407;45336
2021-11-03;114833;47395
2021-11-04;114847;46236
2021-11-05;121885;42693
2021-11-06;124063;33654
2021-11-07;124044;23982
2021-11-08;115943;45541
2021-11-09;112287;46978
2021-11-10;114970;46684
2021-11-11;116324;46671
2021-11-12;119561;44600
2021-11-13;122339;35239
2021-11-14;121714;25105
2021-11-15;116235;45602
2021-11-16;110583;47971
2021-11-17;114134;47299
2021-11-18;116684;46718
2021-11-19;124104;45038
2021-11-20;126130;34666
